ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
8027,beta,high,39.18,13.89,381,1
8028,beta,low,62.2,1.79,188,0
8029,alpha,low,42.3,32.12,247,1
8030,alpha,low,60.48,77.67,105,1
8031,beta,medium,66.07,28.26,125,1
8032,beta,high,43.31,7.44,228,1
8033,alpha,medium,56.64,58.85,434,0
8034,alpha,medium,67.89,58.51,328,0
8035,alpha,medium,43.06,3.63,127,1
8036,beta,low,47.55,6.98,456,1
8037,beta,medium,36.89,82.19,311,1
8038,beta,low,58.1,41.03,409,1
8039,beta,low,79.02,86.44,117,0
8040,alpha,medium,48.28,22.61,208,1
8041,beta,low,52.16,3.97,158,0
8042,beta,high,37.77,67.06,35,0
8043,beta,low,28.07,28.86,431,0
8044,beta,medium,56.85,39.83,295,1
8045,beta,low,84.58,21.96,87,1
8046,beta,medium,41.58,98.58,2,0
8047,alpha,low,96.61,16.38,133,0
8048,beta,low,40.96,56.6,186,1
8049,beta,medium,50.56,64.91,184,0
8050,beta,low,82.7,4.81,380,0
8051,alpha,high,70.37,35.01,408,0
8052,beta,high,81.74,56.6,127,1
8053,alpha,low,88.21,71.25,464,1
8054,alpha,low,38.97,90.39,292,1
8055,beta,low,47.58,54.25,280,1
8056,beta,low,68.67,75.68,305,0
8057,beta,high,34.82,41.86,484,0
8058,beta,low,45.56,79.42,392,1
8059,alpha,low,31.33,36.85,244,1
8060,beta,low,32.98,91.4,447,0
8061,alpha,high,49.02,92.02,457,1
8062,beta,low,47.73,47.09,151,1
8063,beta,low,52.59,90.6,71,0
8064,alpha,low,72.73,7.83,384,0
8065,beta,high,38.04,83.33,465,0
8066,alpha,high,22.63,27.35,276,0
8067,alpha,medium,55.32,80.17,290,1
8068,alpha,medium,50.51,48.99,365,0
8069,beta,high,42.55,70.2,395,0
8070,beta,high,35.11,72.91,79,0
8071,alpha,medium,44.34,63.46,445,1
8072,alpha,low,40.69,83.16,465,1
8073,alpha,high,49.85,59.9,56,1
8074,beta,medium,52.83,92.38,426,0
8075,alpha,medium,49.36,92.98,442,1
8076,alpha,high,39.57,89.22,413,0
8077,beta,medium,57.44,2.09,4,1
8078,alpha,low,42.72,11.29,317,1
8079,alpha,medium,40.27,76.61,205,0
8080,alpha,medium,37.84,38.83,388,1
8081,beta,high,51.69,24.43,442,0
8082,beta,high,32.34,78.86,113,1
8083,beta,high,50.04,54.96,154,1
8084,alpha,low,57.2,34.98,361,1
8085,alpha,high,42.37,42.53,139,1
8086,beta,medium,47.32,29.18,411,0
8087,beta,medium,18.13,51.8,446,0
8088,alpha,high,68.7,5.24,311,1
8089,alpha,low,85.12,63.68,182,0
8090,alpha,high,52.83,63.79,46,1
8091,alpha,low,65.91,62.12,178,1
8092,beta,high,75.85,49.0,256,0
8093,alpha,low,51.81,37.28,382,1
8094,beta,high,74.1,59.18,341,1
8095,beta,high,66.65,23.9,392,0
8096,alpha,medium,34.98,42.02,183,0
8097,beta,low,56.1,27.06,128,0
8098,beta,low,29.19,55.55,179,1
8099,alpha,high,70.1,73.12,161,1
8100,beta,medium,28.84,77.38,359,0
8101,alpha,high,48.35,62.69,301,0
8102,alpha,medium,11.42,69.75,135,0
8103,beta,medium,28.7,36.27,406,0
8104,beta,high,29.11,55.0,104,0
8105,alpha,high,48.83,21.62,384,0
8106,alpha,medium,46.04,1.93,327,1
8107,alpha,medium,51.16,24.62,432,1
8108,beta,low,58.97,4.87,422,0
8109,alpha,low,69.74,29.46,271,0
8110,alpha,medium,34.09,18.01,37,1
8111,beta,medium,35.5,75.52,229,0
8112,beta,medium,46.13,83.64,113,0
8113,beta,medium,66.36,39.99,292,1
8114,beta,medium,30.62,88.76,101,0
8115,beta,medium,78.09,35.44,310,1
8116,beta,high,27.35,31.34,447,1
8117,beta,high,24.22,76.59,27,1
8118,alpha,medium,69.74,13.64,106,0
8119,beta,medium,50.36,52.54,396,1
8120,alpha,high,58.66,24.14,290,0
8121,alpha,high,58.76,80.61,425,1
8122,beta,high,29.63,49.88,273,0
8123,beta,high,69.22,85.65,17,1
8124,beta,high,59.96,69.97,75,0
8125,alpha,low,55.43,57.41,392,0
8126,beta,low,54.58,90.08,133,0
8127,alpha,low,55.16,26.5,218,1
8128,beta,medium,35.17,54.97,281,0
8129,beta,low,45.24,63.46,315,1
8130,alpha,high,56.76,17.9,147,1
8131,beta,high,44.88,87.5,69,1
8132,beta,medium,50.89,53.23,11,0
8133,alpha,low,49.44,27.23,418,0
8134,alpha,medium,54.43,58.12,3,0
8135,alpha,low,58.0,15.01,63,1
8136,alpha,medium,50.85,41.7,445,1
8137,alpha,low,59.63,11.08,29,1
8138,alpha,low,42.71,15.36,339,0
8139,beta,high,56.62,87.93,156,1
8140,alpha,medium,65.57,81.83,13,1
8141,beta,medium,46.43,1.6,129,0
8142,beta,high,75.15,50.47,398,1
8143,beta,low,35.23,71.6,85,0
8144,beta,high,64.85,52.09,464,0
8145,beta,low,83.47,44.99,101,1
8146,alpha,medium,75.66,79.19,356,1
8147,alpha,low,67.0,79.37,138,1
8148,alpha,low,69.4,18.36,57,1
8149,alpha,low,45.98,84.69,141,1
8150,alpha,low,75.78,63.37,151,1
8151,beta,low,43.06,38.59,215,0
8152,beta,high,45.87,54.26,326,0
8153,beta,low,22.62,70.05,239,0
8154,alpha,high,66.05,92.37,153,0
8155,beta,low,61.58,4.61,427,0
8156,alpha,low,49.54,79.8,20,0
8157,beta,medium,63.37,62.89,480,0
8158,beta,medium,63.36,97.43,73,1
8159,beta,high,29.41,37.48,440,0
8160,alpha,high,83.74,29.82,492,1
8161,alpha,high,53.33,94.37,233,1
8162,beta,low,57.84,88.62,417,1
8163,alpha,low,75.71,65.89,475,1
8164,beta,medium,35.68,27.75,254,0
8165,beta,medium,36.82,93.98,411,0
8166,beta,medium,36.12,6.5,16,0
8167,alpha,low,50.98,3.03,459,1
8168,beta,medium,77.35,73.47,345,1
8169,alpha,low,33.65,37.22,218,1
8170,beta,medium,63.17,25.15,258,0
8171,alpha,low,48.07,54.01,237,0
8172,alpha,high,26.76,47.01,34,0
8173,beta,low,15.08,48.31,124,0
8174,beta,medium,52.68,92.95,326,0
8175,beta,low,29.77,36.65,237,1
8176,beta,low,54.3,83.55,361,1
8177,beta,high,53.84,92.11,361,1
8178,alpha,high,41.11,24.08,404,1
8179,alpha,low,44.9,7.81,257,0
8180,beta,medium,67.92,36.93,386,1
8181,alpha,medium,52.61,65.87,270,1
8182,beta,low,49.0,73.45,144,1
8183,beta,medium,102.75,80.25,312,1
8184,beta,medium,66.46,19.39,399,1
8185,alpha,low,27.77,91.95,204,0
8186,beta,low,50.94,76.87,211,0
8187,alpha,low,44.12,41.29,141,1
8188,alpha,medium,48.58,51.54,203,0
8189,alpha,low,46.27,35.86,176,1
8190,alpha,medium,60.81,95.34,260,1
8191,beta,medium,52.85,92.67,291,1
8192,beta,low,49.8,61.04,112,0
8193,beta,high,66.11,74.66,164,1
8194,alpha,high,42.9,25.9,449,1
8195,beta,medium,36.27,87.88,154,0
8196,alpha,low,58.79,46.61,319,0
8197,alpha,high,39.39,19.86,371,1
8198,beta,high,79.94,60.17,427,0
8199,alpha,medium,43.99,35.23,140,0
8200,alpha,high,49.5,2.35,447,0
8201,beta,low,51.42,74.11,348,1
8202,alpha,low,21.4,46.2,227,1
8203,beta,high,51.65,96.64,281,1
8204,alpha,medium,20.01,21.72,467,0
8205,beta,low,63.7,22.25,342,0
8206,beta,low,45.83,96.45,3,1
8207,alpha,high,35.75,69.54,182,0
8208,beta,low,56.96,76.33,333,1
8209,beta,high,44.57,84.05,65,0
8210,beta,medium,21.18,57.08,448,0
8211,alpha,high,54.71,80.93,457,1
8212,beta,low,56.94,79.55,26,1
8213,beta,medium,57.72,18.87,357,0
8214,beta,high,77.79,28.97,135,1
8215,beta,medium,34.03,69.76,202,1
8216,beta,low,26.0,20.02,25,1
8217,alpha,medium,44.0,67.5,313,1
8218,alpha,high,50.08,12.87,251,1
8219,alpha,high,56.55,73.0,287,1
8220,alpha,low,52.16,83.43,227,1
8221,alpha,high,35.2,67.71,302,0
8222,alpha,medium,35.27,70.3,36,1
8223,beta,medium,40.9,22.32,282,0
8224,alpha,medium,37.38,51.45,256,1
8225,alpha,medium,55.5,78.14,440,1
8226,beta,low,47.36,82.45,467,1
8227,alpha,low,45.29,59.09,92,1
8228,alpha,high,44.4,90.43,429,1
8229,beta,high,74.45,71.23,110,0
8230,alpha,low,67.7,83.18,456,1
8231,alpha,medium,44.21,76.28,76,1
8232,beta,medium,64.46,91.59,428,0
8233,alpha,low,67.66,84.66,269,1
8234,alpha,medium,56.77,64.31,179,1
8235,alpha,high,56.4,56.91,461,1
8236,beta,high,65.05,11.06,364,1
8237,beta,low,57.78,37.34,203,1
8238,alpha,medium,66.86,43.69,389,1
8239,alpha,high,43.71,22.15,493,1
8240,beta,high,62.22,3.46,482,0
8241,beta,high,51.88,80.7,248,1
8242,beta,high,35.97,99.25,42,1
8243,beta,low,22.18,58.74,428,0
8244,beta,high,48.28,91.61,158,1
8245,beta,low,16.79,75.45,198,0
8246,alpha,low,54.73,2.37,238,1
8247,beta,low,68.29,80.24,188,1
8248,beta,medium,33.66,60.32,407,0
8249,alpha,medium,48.06,22.05,301,0
8250,alpha,high,50.0,4.93,344,0
8251,beta,low,80.92,11.09,61,0
8252,beta,high,62.48,66.09,409,0
8253,alpha,medium,49.36,33.13,211,1
8254,beta,low,50.59,98.4,41,1
8255,alpha,medium,75.84,7.11,102,0
8256,alpha,low,58.39,48.62,129,0
8257,alpha,medium,50.05,5.87,61,0
8258,beta,medium,37.84,18.47,263,1
8259,alpha,low,45.86,29.99,476,0
8260,alpha,medium,46.48,70.41,133,0
8261,alpha,high,61.59,75.62,82,1
8262,beta,high,35.39,90.33,214,1
8263,beta,low,65.3,8.16,4,1
8264,alpha,medium,66.94,99.62,284,1
8265,beta,low,49.15,39.81,43,1
8266,alpha,high,34.44,70.14,421,0
8267,beta,medium,47.1,56.02,309,1
8268,beta,medium,67.39,51.11,4,1
8269,beta,high,52.32,41.74,220,1
8270,alpha,low,19.06,72.03,380,0
8271,alpha,high,70.43,93.7,213,1
8272,alpha,medium,33.56,10.14,195,1
8273,beta,medium,32.74,90.31,410,1
8274,beta,low,37.15,38.38,239,0
8275,beta,high,57.09,36.74,223,1
8276,alpha,high,34.53,90.67,87,1
8277,beta,medium,35.97,9.47,351,0
8278,beta,high,81.73,60.55,258,1
8279,beta,medium,47.01,27.11,453,1
8280,beta,low,15.42,12.68,214,0
8281,alpha,high,45.26,33.52,267,1
8282,beta,medium,32.18,40.04,489,0
8283,alpha,medium,52.18,43.2,372,0
8284,beta,medium,70.55,23.14,248,0
8285,alpha,high,81.72,95.87,119,1
8286,alpha,low,42.43,4.59,98,1
8287,beta,high,52.85,44.25,42,1
8288,alpha,low,81.25,96.56,456,1
8289,alpha,high,50.01,97.2,122,1
8290,beta,high,50.15,17.46,361,0
8291,beta,medium,46.07,84.7,252,0
8292,beta,low,23.79,44.98,429,0
8293,alpha,high,41.76,90.9,423,0
8294,alpha,low,60.81,32.07,192,1
8295,alpha,low,48.25,14.76,232,1
8296,beta,high,68.49,23.22,99,1
8297,alpha,medium,31.03,86.04,433,0
8298,alpha,medium,55.89,48.49,461,1
8299,alpha,medium,47.0,73.01,312,0
8300,alpha,medium,58.39,29.29,338,1
8301,alpha,low,29.24,11.46,86,1
8302,alpha,high,59.77,35.87,304,1
8303,alpha,high,15.72,97.96,459,1
8304,beta,high,64.31,72.87,120,0
8305,alpha,medium,48.83,31.81,407,0
8306,beta,high,53.39,59.25,391,1
8307,beta,medium,35.91,4.44,430,1
8308,beta,low,74.6,69.09,488,1
8309,beta,low,51.95,3.52,320,1
8310,beta,low,65.89,83.57,327,1
8311,alpha,high,41.68,34.62,269,0
8312,beta,medium,29.95,16.51,170,1
8313,alpha,medium,67.06,59.59,481,0
8314,beta,medium,27.4,16.0,36,0
8315,beta,high,33.52,16.57,323,1
8316,beta,high,38.38,81.01,252,1
8317,beta,medium,66.39,46.49,410,1
8318,beta,medium,30.86,45.42,424,1
8319,alpha,high,44.67,47.26,110,1
8320,alpha,low,41.52,27.36,235,0
8321,alpha,high,49.86,18.97,87,1
8322,alpha,low,43.04,55.71,75,0
8323,alpha,medium,53.86,69.77,433,0
8324,beta,low,37.7,96.5,425,1
8325,alpha,high,45.71,91.36,74,1
8326,alpha,high,65.82,2.24,295,1
8327,beta,medium,39.73,63.84,391,1
8328,beta,low,43.7,87.24,74,0
8329,beta,high,56.41,41.24,201,1
8330,alpha,medium,38.79,1.24,64,0
8331,beta,high,38.19,83.53,69,0
8332,beta,low,42.52,6.49,472,0
8333,beta,high,55.51,46.85,159,1
8334,alpha,medium,43.86,61.44,443,0
8335,alpha,high,29.14,75.11,164,1
8336,beta,low,34.39,41.39,480,0
8337,beta,low,57.63,3.09,452,0
8338,alpha,low,35.7,25.91,288,1
8339,beta,medium,52.16,54.18,79,0
8340,alpha,medium,74.09,16.17,97,1
8341,alpha,low,54.43,28.4,397,1
8342,beta,high,12.39,89.86,297,1
8343,beta,high,28.58,88.7,420,0
8344,beta,medium,32.71,86.71,285,1
8345,alpha,high,53.0,77.41,188,0
8346,beta,high,34.47,75.52,371,1
8347,alpha,high,53.21,95.31,242,1
8348,beta,high,67.46,35.9,251,1
8349,alpha,low,73.77,33.51,152,1
8350,beta,high,70.25,62.34,382,1
8351,alpha,low,39.2,17.61,86,0
8352,alpha,medium,52.12,25.66,108,1
8353,beta,medium,45.96,44.3,192,0
8354,alpha,high,79.31,74.37,436,1
8355,beta,high,57.42,12.78,471,1
8356,alpha,medium,53.88,19.87,346,0
8357,alpha,low,33.0,52.26,344,1
8358,alpha,low,53.75,93.93,184,1
8359,beta,high,66.36,93.32,124,0
8360,alpha,medium,39.18,96.33,80,1
8361,beta,medium,66.59,30.75,265,1
8362,alpha,high,55.61,19.98,486,1
8363,beta,low,44.65,86.29,78,1
8364,alpha,medium,53.79,85.43,357,1
8365,alpha,low,58.1,12.89,11,1
8366,beta,low,23.05,75.55,317,1
8367,alpha,high,66.71,18.25,451,0
8368,beta,low,55.45,71.94,374,0
8369,beta,high,39.23,68.54,490,1
8370,alpha,low,51.47,98.59,128,1
8371,alpha,high,61.83,11.72,452,0
8372,alpha,high,83.73,46.17,490,1
8373,alpha,high,44.26,86.02,447,0
8374,beta,low,67.93,76.94,182,1
8375,beta,high,44.29,25.58,494,0
8376,alpha,high,27.17,47.72,79,0
8377,beta,medium,37.42,37.31,283,0
8378,beta,high,54.39,98.72,137,1
8379,alpha,high,70.32,39.2,149,1
8380,alpha,low,32.97,96.03,251,0
8381,alpha,high,37.01,99.55,29,0
8382,beta,medium,69.62,81.66,324,0
8383,alpha,medium,38.01,47.01,352,0
8384,alpha,high,49.91,23.67,204,1
8385,alpha,low,48.58,52.41,81,0
8386,alpha,high,46.0,41.58,208,0
8387,beta,medium,48.08,55.15,291,0
8388,alpha,medium,39.58,58.59,45,1
8389,beta,medium,56.94,91.98,477,1
8390,beta,high,65.7,79.0,334,1
8391,beta,high,26.36,88.73,386,1
8392,alpha,medium,51.96,0.77,58,1
8393,beta,medium,76.63,72.14,47,0
8394,alpha,high,50.04,30.87,172,1
8395,beta,high,43.35,57.79,48,0
8396,beta,high,36.7,67.02,142,1
8397,beta,low,37.93,59.42,497,0
8398,beta,high,44.72,83.55,489,0
8399,alpha,low,39.31,35.14,430,0
8400,beta,medium,54.95,66.53,499,0
8401,alpha,low,44.03,95.78,406,1
8402,beta,medium,49.65,64.44,338,1
8403,beta,medium,31.99,60.88,102,0
8404,beta,medium,30.52,22.77,208,1
8405,alpha,high,47.07,69.28,115,0
8406,alpha,low,21.07,83.48,351,1
8407,alpha,medium,64.35,66.91,210,1
8408,beta,medium,56.03,38.17,447,0
8409,alpha,medium,35.84,54.21,29,0
8410,beta,low,62.89,65.26,74,1
8411,beta,high,52.88,40.54,299,0
8412,beta,medium,48.65,84.03,487,0
8413,alpha,low,55.72,36.78,104,0
8414,alpha,medium,39.5,65.78,221,1
8415,alpha,medium,56.04,78.65,459,1
8416,beta,high,66.9,8.87,490,0
8417,beta,low,40.29,9.07,307,0
8418,beta,low,69.71,79.37,59,0
8419,alpha,low,50.56,53.5,188,1
8420,alpha,low,43.45,6.0,493,0
8421,beta,high,43.0,64.49,384,0
8422,beta,low,41.58,78.39,364,0
8423,alpha,high,42.36,52.7,403,0
8424,alpha,medium,66.59,85.03,184,1
8425,alpha,medium,63.39,17.52,328,1
8426,alpha,low,60.26,15.28,431,0
8427,alpha,low,75.83,32.08,492,1
8428,beta,medium,70.65,27.57,436,1
8429,alpha,low,64.14,10.7,315,0
8430,beta,low,68.08,56.78,405,1
8431,beta,medium,26.04,76.7,314,0
8432,beta,medium,34.97,39.03,247,0
8433,alpha,high,42.72,20.48,376,1
8434,beta,medium,54.02,4.19,16,1
8435,beta,high,71.53,83.59,428,1
8436,alpha,high,44.76,35.94,316,0
8437,beta,high,71.24,97.95,460,1
8438,alpha,high,49.05,23.05,376,0
8439,alpha,high,58.25,42.69,73,1
8440,beta,low,45.08,0.16,260,0
8441,alpha,low,72.54,76.74,471,0
8442,beta,high,77.88,89.78,105,1
8443,beta,medium,42.45,35.21,233,1
8444,beta,high,39.07,70.55,303,1
8445,beta,high,60.64,98.62,18,1
8446,alpha,low,42.12,33.71,307,0
8447,alpha,low,52.58,48.25,278,1
8448,alpha,low,76.46,89.0,258,1
8449,beta,medium,44.54,54.46,474,1
8450,beta,high,60.25,7.91,45,1
8451,alpha,low,64.26,27.84,11,1
8452,beta,medium,45.57,76.3,478,0
8453,alpha,medium,68.39,66.65,343,1
8454,beta,medium,81.68,30.0,481,0
8455,beta,high,28.26,31.64,316,0
8456,beta,medium,67.94,32.05,447,1
8457,alpha,low,51.44,73.03,452,1
8458,beta,medium,56.21,97.56,126,1
8459,alpha,medium,63.84,52.92,152,1
8460,alpha,low,57.07,28.23,389,0
8461,beta,low,57.42,6.61,117,1
8462,alpha,low,77.36,74.77,130,1
8463,alpha,high,26.55,22.15,192,1
8464,alpha,low,37.23,79.74,183,0
8465,alpha,high,56.13,10.96,9,1
8466,alpha,medium,39.13,37.67,437,0
8467,beta,high,45.35,52.65,479,1
8468,alpha,medium,22.24,26.06,205,1
8469,beta,medium,73.65,71.33,171,0
8470,alpha,low,59.93,10.83,495,1
8471,beta,medium,50.18,56.95,217,1
8472,alpha,medium,54.9,47.85,105,0
8473,beta,low,61.76,77.49,482,1
8474,alpha,high,34.18,56.46,191,0
8475,beta,low,39.89,33.74,487,0
8476,alpha,medium,59.49,61.22,93,1
8477,beta,medium,59.5,40.8,407,1
8478,alpha,low,71.89,61.7,42,1
8479,alpha,low,64.63,38.82,177,1
8480,beta,high,29.44,31.18,185,0
8481,beta,low,72.72,93.5,438,0
8482,alpha,medium,39.54,54.03,58,0
8483,beta,high,48.2,80.85,399,1
8484,beta,low,63.12,77.32,246,0
8485,beta,low,53.27,47.86,316,1
8486,alpha,low,45.5,68.72,115,1
8487,alpha,medium,22.42,66.37,398,0
8488,alpha,high,50.93,49.0,460,1
8489,beta,low,44.81,77.43,41,0
8490,beta,low,76.08,92.42,400,1
8491,alpha,medium,61.37,31.72,400,1
8492,alpha,high,68.84,12.08,335,1
8493,alpha,high,33.53,80.3,290,0
8494,alpha,high,45.47,75.48,492,0
8495,alpha,low,78.66,36.03,462,0
8496,beta,high,67.22,39.63,238,1
8497,alpha,low,40.02,61.64,462,0
8498,beta,medium,45.06,21.47,375,0
8499,alpha,low,47.49,54.69,295,1
8500,alpha,high,41.97,2.56,100,1
8501,beta,high,16.55,40.98,22,0
8502,alpha,high,15.51,2.89,279,0
8503,alpha,high,51.28,24.06,221,0
8504,beta,high,20.24,87.39,278,0
8505,alpha,medium,56.4,26.29,146,0
8506,alpha,low,14.63,36.88,360,0
8507,beta,low,53.85,68.26,274,1
8508,alpha,high,43.8,68.65,253,0
8509,alpha,medium,45.47,92.71,310,1
8510,beta,medium,46.25,10.07,271,0
8511,beta,low,71.58,42.17,273,0
8512,alpha,low,54.23,41.08,147,1
8513,beta,high,32.34,81.69,385,0
8514,alpha,high,51.55,25.76,124,1
8515,beta,high,42.47,80.41,342,1
8516,alpha,medium,38.9,7.95,225,0
8517,beta,medium,70.4,52.62,268,0
8518,alpha,medium,81.79,21.67,450,1
8519,beta,high,71.22,4.9,22,0
8520,beta,low,61.42,0.37,194,1
8521,alpha,high,61.16,85.45,82,0
8522,beta,medium,61.1,77.19,359,0
8523,alpha,high,63.5,55.75,156,0
8524,alpha,low,48.16,24.97,69,1
8525,alpha,low,47.89,77.84,207,0
8526,alpha,medium,56.02,90.84,347,0
8527,beta,high,51.19,31.26,165,0
8528,alpha,high,14.78,86.05,197,1
8529,alpha,medium,7.63,62.66,34,0
8530,beta,high,58.89,96.96,245,1
8531,beta,low,29.61,3.8,238,0
8532,beta,low,60.94,34.39,247,0
8533,beta,low,41.51,16.87,453,1
8534,beta,high,37.82,14.37,325,0
8535,alpha,low,48.95,21.3,230,1
8536,alpha,high,52.94,39.21,183,0
8537,alpha,medium,28.02,29.57,381,1
8538,alpha,low,39.07,87.09,127,1
8539,alpha,high,43.14,73.03,308,1
8540,beta,low,47.68,79.65,130,1
8541,alpha,high,58.23,72.16,402,1
8542,beta,low,57.29,58.44,160,1
8543,beta,low,58.05,73.03,485,1
8544,beta,high,69.84,77.92,420,1
8545,beta,high,60.54,76.56,409,1
8546,alpha,medium,55.75,37.98,193,1
8547,alpha,low,86.63,90.47,129,0
8548,beta,medium,44.65,35.88,9,0
8549,alpha,low,51.47,7.77,64,1
8550,beta,medium,34.84,57.48,16,1
8551,beta,medium,31.54,22.24,331,0
8552,beta,low,59.25,88.96,459,1
8553,beta,medium,60.57,35.41,178,1
8554,beta,low,83.11,52.3,340,1
8555,beta,low,52.44,98.35,57,1
8556,alpha,medium,52.72,48.88,235,1
8557,alpha,high,29.79,67.6,159,1
8558,beta,high,57.35,64.79,201,1
8559,beta,low,51.75,0.56,298,1
8560,alpha,high,48.89,15.37,479,1
8561,beta,low,46.21,54.03,62,1
8562,alpha,high,30.76,78.66,436,1
8563,alpha,high,40.26,51.24,357,1
8564,alpha,medium,60.98,61.79,80,1
8565,alpha,low,38.9,64.15,271,1
8566,alpha,high,58.2,61.2,474,1
8567,alpha,low,44.22,83.43,364,0
8568,alpha,high,39.43,77.51,16,1
8569,beta,medium,81.33,3.73,288,0
8570,beta,high,58.35,18.86,108,0
8571,alpha,medium,53.25,73.05,41,1
8572,alpha,low,80.09,48.31,208,1
8573,beta,medium,54.92,59.39,272,1
8574,alpha,high,40.57,75.95,433,1
8575,alpha,low,52.11,28.81,332,0
8576,beta,high,41.81,64.83,418,1
8577,alpha,high,43.25,60.57,400,1
8578,beta,medium,52.22,49.49,222,0
8579,alpha,high,78.89,78.62,151,1
8580,beta,low,1.49,63.24,68,0
8581,beta,medium,41.27,86.59,221,1
8582,alpha,medium,81.75,3.13,89,1
8583,alpha,high,10.33,67.89,227,0
8584,alpha,medium,78.89,20.0,455,1
8585,beta,low,44.45,34.21,447,0
8586,alpha,low,38.49,74.72,51,0
8587,beta,high,70.21,15.48,438,1
8588,alpha,high,53.89,20.36,300,1
8589,beta,medium,41.54,82.11,303,0
8590,beta,low,38.99,59.24,159,1
8591,alpha,high,41.63,1.8,34,0
8592,alpha,high,61.14,80.3,258,1
8593,alpha,low,51.85,2.52,375,0
8594,alpha,medium,49.83,53.84,324,1
8595,beta,high,65.46,45.41,59,1
8596,beta,low,44.47,42.17,39,0
8597,alpha,low,59.15,45.02,66,1
8598,beta,low,61.41,97.04,311,1
8599,alpha,low,35.78,99.54,290,1
8600,alpha,high,64.87,47.09,416,1
8601,alpha,high,57.09,64.87,129,1
8602,alpha,low,43.02,15.17,145,1
8603,beta,high,73.13,99.11,499,1
8604,alpha,low,76.63,12.19,169,1
8605,beta,high,71.78,99.26,57,1
8606,beta,high,48.6,4.11,118,0
8607,beta,high,28.74,44.47,436,0
8608,beta,high,50.47,62.33,398,1
8609,alpha,low,58.97,28.79,442,1
8610,beta,low,51.15,45.68,160,1
8611,beta,medium,54.2,64.56,356,1
8612,alpha,medium,47.74,1.44,410,0
8613,beta,medium,18.89,43.09,136,0
8614,beta,medium,50.74,65.73,261,0
8615,alpha,medium,50.48,94.18,142,0
8616,alpha,low,50.92,54.85,88,0
8617,beta,medium,81.64,78.68,25,0
8618,alpha,medium,26.9,97.16,164,1
8619,beta,low,27.44,15.82,137,0
8620,beta,low,29.67,54.18,418,0
8621,alpha,high,55.32,8.3,421,1
8622,alpha,high,52.55,31.66,370,1
8623,beta,medium,25.97,28.86,4,0
8624,beta,high,30.64,8.72,266,0
8625,beta,medium,54.75,3.95,326,1
8626,alpha,medium,53.6,96.17,107,0
8627,alpha,low,32.02,45.87,463,0
8628,beta,medium,80.99,78.56,412,1
8629,beta,low,76.4,68.21,28,0
8630,alpha,low,65.77,59.97,117,0
8631,beta,low,58.05,48.56,25,0
8632,alpha,medium,35.43,13.14,406,1
8633,beta,high,64.86,64.35,246,1
8634,alpha,low,38.71,63.72,380,0
8635,beta,low,43.45,23.83,313,1
8636,beta,low,58.99,67.29,44,1
8637,beta,high,44.16,8.5,255,0
8638,alpha,high,70.1,15.26,316,0
8639,alpha,high,41.46,55.4,130,1
8640,alpha,high,55.42,87.19,421,1
8641,beta,medium,46.76,45.55,247,1
8642,alpha,high,46.58,99.54,281,1
8643,alpha,medium,77.88,75.62,424,1
8644,beta,medium,40.88,14.98,196,1
8645,beta,low,70.31,53.95,142,0
8646,alpha,high,42.48,24.08,339,1
8647,beta,medium,52.31,72.4,284,0
8648,beta,high,38.18,31.81,382,1
8649,beta,low,77.36,4.84,381,1
8650,beta,medium,55.41,60.99,407,0
8651,beta,high,32.83,94.52,76,1
8652,beta,low,36.0,58.27,362,1
8653,alpha,low,43.53,12.4,222,1
8654,alpha,low,57.9,79.04,25,1
8655,alpha,low,32.85,16.85,359,0
8656,alpha,medium,46.19,23.24,1,0
8657,beta,medium,66.97,87.25,427,0
8658,alpha,low,37.87,36.72,311,0
8659,beta,medium,30.4,32.59,84,0
8660,beta,low,70.9,85.64,415,1
8661,alpha,medium,67.33,52.21,249,0
8662,beta,medium,45.51,62.6,121,1
8663,alpha,low,45.97,9.07,359,1
8664,alpha,high,50.13,18.59,237,1
8665,alpha,medium,65.85,95.73,416,1
8666,alpha,high,26.51,35.84,3,0
8667,alpha,high,35.04,36.99,367,0
8668,beta,high,51.83,84.51,144,1
8669,alpha,low,40.54,16.3,470,0
